PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATIUTUDE,LONGITUDE,url
Crystal Apartment,"1 BHK Flat for sale in Andheri East, Mumbai",,Mumbai,78.0 L,"Marol, Andheri East,Mumbai",380,20530,"Compact 1 BHK with Plenty of Sunlight and Cross Ventilation available for Sale in Main Market Area near Uttam Dhaba at Marol Maroshi Road More About This Property Property for sale in Andheri East, Mumbai. This 1 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 5. The total number of floors in this building is 7. This Apartment's price is Rs 78.0 L. Homebuyers will also need to pay Rs 3000 towards maintenance. This Apartment is a spacious unit, with carpet area of 300 Square feet and is ideal for f...",1.0,19.1044551,72.8672635,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4MZkvZ7mqsl1Y3zTX6pP4mOusUGiGyeUQXQ&s
Golden Naigaon Homes,"1 RK Flat for sale in Naigaon East, Mumbai",,Mumbai,12.0 L,"Naigaon East, Mumbai",250,4800,"1 RK Apartment for sale in Mumbai. This property is in Naigaon East, which is a coveted investment location. This tastefully designed 1 RK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 RK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 1. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 12.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 250 Square feet. The carpet area is 250 Square feet. It has 1 bat...",,19.0137554,72.8462943,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
"Sindhi Colony,Matunga East, Mumbai","2 BHK Independent House for sale in Matunga East, Mumbai",,Mumbai,80.0 L,"Sindhi Colony,Matunga East, Mumbai",516,15500,"2 BHK Independent House for sale in Matunga East, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Matunga East which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Matunga East. This 2 BHK Independent House is available at a reasonable price of Rs 80.0 L. Residents also need to pay maintenance charges of Rs 0. The built-up area is 516 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like...",2.0,19.0378062,72.8614432,https://media.istockphoto.com/id/1184204517/photo/modern-scandinavian-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=CZzR0EteHu-3vbyM0QFffaI0i-Db_gSNl1ltQW8kxxo=
"Tata Nagar, Govandi,Mumbai","1 BHK Independent House for sale in Govandi, Mumbai",,Mumbai,25.0 L,"Tata Nagar, Govandi,Mumbai",666,3750,"Property for sale in Govandi, Mumbai. This 1 BHK Independent House is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 25.0 L. Homebuyers will also need to pay Rs 600 towards maintenance. The built-up area is 666 Square feet. The property has 1 bedroom and 2 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Apollo Spectra Hospital, Zen Multi Speciality Hospital in Mumbai, and The Mumbai Heart Clinic. Schools like Kumud Vidya Ma...",1.0,19.0484079,72.917252,https://media.istockphoto.com/id/2166310230/photo/a-quiet-luxury-living-room-interior-with-glamour-and-traditional-furniturea-quiet-luxury.webp?a=1&b=1&s=612x612&w=0&k=20&c=Kx8eRjCVMHVaVcCSKYLQVGMfm68Y2k02Ym50TUBB0FU=
"Indira Nagar, Ghatkopar West,Mumbai","2 BHK Independent House for sale in Ghatkopar West, Mumbai",,Mumbai,35.0 L,"Indira Nagar, Ghatkopar West,Mumbai",200,17500,"A 2 BHK Independent House for sale in Ghatkopar West, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ghatkopar West's most desired properties. Contact now for more information. The price of this Independent House is Rs 35.0 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 200 Square feet. There are 2 bedrooms. This residential property is near All India Education Society High School, North Bombay Welfare Society School, and Nahar International School. It is also close to The Mumbai Heart Clini...",2.0,19.0886496,72.9038168,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnANnncOBGJj9-VH5E6utNFsFLjkyr7cvQg&s
"Antop Hill, Wadala,Mumbai","1 BHK Independent House for sale in Wadala, Mumbai",,Mumbai,1.25 Cr,"Antop Hill, Wadala,Mumbai",585,21370,"1 BHK Independent House for sale in Mumbai. This property is in Wadala, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 1.25 Cr. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 585 Square feet. Some of the very well-known and reputed speciality hospitals like Tata Memorial Ho...",1.0,19.0267547,72.86421,https://images.pexels.com/photos/1428348/pexels-photo-1428348.jpeg?auto=compress&cs=tinysrgb&w=800
JP Ato Byculla,"1 RK Flat for sale in Byculla, Mumbai",,Mumbai,45.0 L,"Byculla East, Byculla,Mumbai",800,5630,"Looking for a 1 RK Apartment for sale in Mumbai? Your search ends here. Buy this 1 RK property in Mumbai's finest location, Byculla. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 2 floors. This Apartment is available at a reasonable price of Rs 45.0 L. Maintenance charges in this property is Rs 200. The built up area of this property is 800 Square feet. It is spacious for a family and this property has a carpet area of 800 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as St. Mary's Scho...",,18.9722892,72.8312419,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG1lJQuZeAz1iEaSRlc9WezxNFe31_2RCYxo6zeDUErELmluUzRdRnbOg&s
"Tagore Road, Santacruz West,Mumbai","1 BHK Independent House for sale in Santacruz West, Mumbai",,Mumbai,45.0 L,"Tagore Road, Santacruz West,Mumbai",450,10000,"1 BHK Independent House for sale in Mumbai. This property is in Santacruz West, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 45.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 450 Square feet. Some of the very well-known and reputed speciality hospitals like Ojas Eye Hospital, Nanavati Super Speciality Hospit...",1.0,19.082508,72.8362426,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8gUmK06a7D4CltqnIhXcRZS6bVn6ercPGJg&s
Shiv Parvati,"3 BHK Flat for sale in Dahisar East, Mumbai",,Mumbai,2.1 Cr,"Avdhut Nagar, Dahisar East,Mumbai",1300,16150,"Best society, more open space, nearby temple school Market restaurant spacious flat good  More About This Property One of the finest property in Dahisar East is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 7 storeyed building. The price of this Apartment is Rs 2.1 Cr. Other charges when you move into this property include maintenance, which is Rs 4000. This Apartment is spacious with a built-up area of 1300 Square feet. The carpet area is 900 Square feet. It is a West-facing property with a good view. There are 3 bedro...",3.0,19.2592685,72.8620869,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
"Mandala, Mankhurd,Mumbai","1 BHK Independent House for sale in Mankhurd, Mumbai",,Mumbai,65.0 L,"Mandala, Mankhurd,Mumbai",600,10830,"A 1 BHK Independent House for sale in Mankhurd, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Mankhurd's most desired properties. Contact now for more information. The price of this Independent House is Rs 65.0 L. Maintenance charges come to Rs 500. Each unit has a built-up area of 600 Square feet. There are 1 bedroom. There is provision for 3 bathroom. This residential property is near Padua High School, Kumud Vidya Mandir EnglishSchool, and Darul Madinah Islamic English School. It is also close to BARC Hospital...",1.0,19.0392488,72.9393322,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYDlzQ4omUhG5GLekwsO-jg6BeB2sRTydIruupsiV7roqnnrr2p9a0Wik&s
Purnima,"1 RK Independent House for sale in Goregaon West, Mumbai",,Mumbai,1.06 Cr,"Shri Nagar, Goregaon West,Mumbai",535,19740,"Property for sale in Goregaon West, Mumbai. This 1 RK Independent House is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 1.06 Cr. This Independent House is a spacious unit, with carpet area of 535 Square feet and is ideal for families. The built-up area is 535 Square feet. The property has 1 bedroom and 1 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Qispine, Bombay Hospital & Medical Research Centre, and Suvidha Hospita...",,19.1622456,72.8440631,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
"Vikhroli East, Mumbai","3 RK Independent House for sale in Vikhroli East, Mumbai",,Mumbai,40.0 L,"Vikhroli East, Mumbai",400,10000,"3 RK Independent House for sale in Vikhroli East, Mumbai. This 3 RK unit is available in Vikhroli East and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Vikhroli East. The price of this Independent House is Rs 40.0 L. The built-up area is 400 Square feet. This property is at a walking distance from Godrej Memorial Hospital, Parakh Hospital, and Asian Cancer Institute. The city's best schools such as Kangaroo Kids Playschool & Nursery, Joymax English High ...",,19.1172592,72.9355194,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
"Ranwar, Bandra West,Mumbai","5 BHK Independent House for sale in Bandra West, Mumbai",,Mumbai,21.0 Cr,"Ranwar, Bandra West,Mumbai",4200,50000,"Check out this 5 BHK Independent House for sale in Bandra West, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 5 BHK Independent House is perfect for a modern-day lifestyle. Bandra West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 21.0 Cr. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 4200 Square feet built-up area. Educational institutions are closeby with schools such as Bali Guit...",5.0,19.0537259,72.8275798,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
"Aarey Colony, Goregaon East,Mumbai","2 BHK Flat for sale in Goregaon East, Mumbai",,Mumbai,1.75 Cr,"Aarey Colony, Goregaon East,Mumbai",920,19020,"Property for sale in Goregaon East, Mumbai. This 2 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 7. The total number of floors in this building is 15. Homebuyers will also need to pay Rs 4000 towards maintenance. This Apartment is a spacious unit, with carpet area of 920 Square feet and is ideal for families. The built-up area is 920 Square feet. The property has 2 bedrooms and 2 bathroom. This unit enjoys a good view and is a East facing property. This residential building in Goregaon East, Mum...",2.0,19.1695389,72.8587902,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbGTZSL1OiofYCjJvDIL40aAzI8iTWv6erpw&s
"Bhandup East, Mumbai","2 BHK Independent House for sale in Bhandup East, Mumbai",,Mumbai,1.5 Cr,"Bhandup East, Mumbai",730,20550,"Looking for a 2 BHK Independent House for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Bhandup East. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 1.5 Cr. Maintenance charges in this property is Rs 0. The built up area of this property is 730 Square feet. There are a number of reputed schools in the vicinity such as Alwin Nursery Playschool, LITTLE ANGEL PLAYSCHOOL, BHANDUP EAST, MUMBAI, and BES English Medium High School And Krisna Menon College.. Medical facil...",2.0,19.1378308,72.9361964,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCgib1mqHFf0xP0mgqZIYJGrUwxkzi46H2Og&s
"Marol, Andheri East,Mumbai","1 RK Independent House for sale in Andheri East, Mumbai",,Mumbai,70.0 L,"Marol, Andheri East,Mumbai",300,23330,"1 RK Independent House for sale in Mumbai. This property is in Andheri East, which is a coveted investment location. This tastefully designed 1 RK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 RK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 70.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 300 Square feet. It has 2 bathroom and 1 bedroom. Some of the very well-known and reputed speciality hospitals like SevenHills Hospital, Ho...",,19.1044551,72.8672635,https://images.unsplash.com/photo-1580041065738-e72023775cdc?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU0fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
 Amina Manzil,"1 BHK Flat for sale in Mandvi, Mumbai",,Mumbai,55.0 L,"Pydhonie, Mandvi,Mumbai",500,11000,"Looking for a good 1 BHK Apartment in Mandvi, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 6. Maintenance charges of this property is Rs 500. This Apartment is available for Rs 55.0 L. This modern unit has a built-up area of 500 Square feet. The carpet area of this Apartment is 330 Square feet. There are 1 bedroom and 2 bathroom. It is very close to some of city's best hospitals, such as, Saifee Hospital, JJ Hospital, and Apollo Spectra Hospitals. Established schools, such as Municipal...",1.0,18.9539939,72.8323786,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyfi0uf1t-u3cXQDcluS_bcl8FFO8OHHarQ&s
"Cheeta Camp, Trombay,Mumbai","3 BHK Independent House for sale in Trombay, Mumbai",,Mumbai,25.0 L,"Cheeta Camp, Trombay,Mumbai",250,10000,"3 BHK Independent House for sale in Trombay1, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Trombay1 which is a promising investment destination in Mumbai. This might be your chance to grab the best 3 BHK property for sale in Trombay1. This 3 BHK Independent House is available at a reasonable price of Rs 25.0 L. Residents also need to pay maintenance charges of Rs 0. It is a very spacious property, spread over 250 Square feet. The built-up area is 250 Square feet. This property has provision for 3 bathroo...",3.0,19.0384776,72.9446669,https://images.unsplash.com/photo-1580041065738-e72023775cdc?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU0fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Lok Yamuna Apartments,"2 BHK Independent House for sale in Andheri East, Mumbai",,Mumbai,2.0 Cr,"Marol, Andheri East,Mumbai",872,22930,"Check out this 2 BHK Independent House for sale in Andheri East, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Independent House is perfect for a modern-day lifestyle. Andheri East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 2.0 Cr. Residents in this property pay Rs 2500 towards maintenance. This property is a modern-day abode, with 872 Square feet built-up area. The unit has 2 bedrooms and 2 bathroom. Educational institutions...",2.0,19.1044551,72.8672635,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG1lJQuZeAz1iEaSRlc9WezxNFe31_2RCYxo6zeDUErELmluUzRdRnbOg&s
"Sewri, Mumbai","2 BHK Independent House for sale in Sewri, Mumbai",,Mumbai,10.7 Cr,"Sewri, Mumbai",900,1190,"Best 2 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Mumbai's top location, Sewri. The property price of this unit is Rs 10.7 Cr. Monthly maintenance costs Rs 0. The built-up area is 900 Square feet. It is an ideal location for young families with kids, as this property is close to Sewri Municipal Urdu Primary School, Bradley Night High School, and Aastana-e-rabbania. Healthcare facility is also close at hand with Global Hospital. (Mumbai), King Edward Memorial Hospital, and Tata Mem...",2.0,18.9987796,72.8544218,https://media.istockphoto.com/id/1293762741/photo/modern-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=Nk1uLgimD0AG9ADjHPx1iLvhZnm28YW6VRZr7uGwvS0=
"Navy Nagar, Colaba,Mumbai","1 RK Independent House for sale in Colaba, Mumbai",,Mumbai,90.0 L,"Navy Nagar, Colaba,Mumbai",150,60000,"A 1 RK Independent House for sale in Colaba, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 1 RK unit with all the modern-day comforts is one of Colaba's most desired properties. Contact now for more information. The price of this Independent House is Rs 90.0 L. Maintenance charges come to Rs 300. Each unit has a built-up area of 150 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near Shiksha Sankalp (ADAPT), Madrasa Gulshane Raza, and Usha Tutorials. It is also close to INHS Asvini, Anjali Mukerjee Health Total - Be...",,18.9235485,72.8297369,https://images.unsplash.com/photo-1580041065738-e72023775cdc?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU0fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
"Bandra West, Mumbai","4 BHK Independent House for sale in Bandra West, Mumbai",,Mumbai,8.5 Cr,"Bandra West, Mumbai",1500,56670,"4 BHK Independent House for sale in Bandra West, Mumbai. This 4 BHK unit is available in Bandra West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bandra West. The price of this Independent House is Rs 8.5 Cr. Residents in this project also pay monthly maintenance charges of Rs 300. It is a good, spacious Independent House unit with carpet area of 1200 Square feet. The built-up area is 1500 Square feet. There are 4 bedrooms and 4 bathroom. This proper...",4.0,19.0583358,72.8302669,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnANnncOBGJj9-VH5E6utNFsFLjkyr7cvQg&s
Daulat Shirin,"1 BHK Flat for sale in Cuffe Parade, Mumbai",,Mumbai,2.5 Cr,"Cuffe Parade, Mumbai",1000,25000,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Mumbai's top location, Cuffe Parade. It is situated on floor 4. The total number of floors in this Apartment is 6. The property price of this unit is Rs 2.5 Cr. Monthly maintenance costs Rs 5000. The carpet area of this unit is 570 Square feet. The built-up area is 1000 Square feet. There are 1 bedroom and 2 bathroom. This property enjoys a good view and is East-facing. It is an ideal location for young families with kids, as this property...",1.0,18.9157866,72.8189036,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fGhvdXNlfGVufDB8fDB8fHww
Ekdanta 24 Karat,"1 BHK Flat for sale in Kurla East, Mumbai",,Mumbai,85.0 L,"Nehru Nagar, Kurla East,Mumbai",780,10900,"1 BHK Apartment for sale in Kurla, Mumbai. This 1 BHK unit is available in Kurla and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Kurla. It is on floor 9. The total number of floors is 16. Residents in this project also pay monthly maintenance charges of Rs 3. It is a good, spacious Apartment unit with carpet area of 476 Square feet. The built-up area is 780 Square feet. There are 1 bedroom and 2 bathroom. This property is at a walking distance from Sura...",1.0,19.061,72.881,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa_wPYQK-qPTd7Wd7_gaWOxCFznuYcKfsjhw&s
"Tagore Road, Santacruz West,Mumbai","1 RK Independent House for sale in Santacruz West, Mumbai",,Mumbai,22.0 L,"Tagore Road, Santacruz West,Mumbai",250,8800,"Property for sale in Santacruz West, Mumbai. This 1 RK Independent House is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 22.0 L. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 250 Square feet. This Independent House is strategically located within close distance of famous healthcare centres such as Nanavati Super Speciality Hospital, Surya Hospitals, and Kenia Eye Hospital. Schools like Podar International School, R. N. Podar School, and Lilavatibai Podar H...",,19.082508,72.8362426,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ-q8tz9MVUn4YbXb-PK4rdR5mtDaJK_ODRr80Z5mbeHhooIxAIO0oZ2c&s
GA Ganga Sagar CHS,"5 BHK Villa for sale in Ghatkopar East, Mumbai",,Mumbai,1.0 Cr,"Railway Police Colony, Ghatkopar East,Mumbai",1500,6670,"One of the finest property in Ghatkopar East is now available for sale. This is a 5 BHK Villa posted directly by owner. Make it yours now. The price of this Villa is Rs 1.0 Cr. Other charges when you move into this property include maintenance, which is Rs 25000. This Villa is spacious with a built-up area of 1500 Square feet. The carpet area is 1500 Square feet. There are 5 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Kangaroo Kids Playschool & Nursery, ilead Ghatkopar Centre, and Ramabai Sahakar Nagar Marathi Primary School...",5.0,19.0779,72.9144,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyiVZsxHWJgiUG5BXh2ehDmMTVjP-AtqC4ig&s
Rameshwar Sanghvi One,"1 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,1.02 Cr,"Gangawadi, Ghatkopar West,Mumbai",650,15690,"Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Ghatkopar West. This is an owner listed property and there is no brokerage involved. It is on floor 5 out of 17 floors. Maintenance charges in this property is Rs 3500. The built up area of this property is 650 Square feet. It is spacious for a family and this property has a carpet area of 418 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as All India Education Society High School, North Bombay Welfare Societ...",1.0,19.0918347,72.910128,https://images.unsplash.com/photo-1628744876497-eb30460be9f6?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGJlYXV0aWZ1bCUyMGhvdXNlfGVufDB8fDB8fHww
Pushpa Milan,"2 BHK Flat for sale in Cumballa Hill, Mumbai",,Mumbai,7.5 Cr,"Cumballa Hill, Mumbai",1250,60000,"Check out this 2 BHK Apartment for sale in Cumbala Hill, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Cumbala Hill is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 9. The property's price is Rs 7.5 Cr. This property is a modern-day abode, with 1250 Square feet built-up area. The carpet-area is 1080 Square feet. The unit has 2 bedrooms and 2 bathr...",2.0,18.968623,72.8068368,https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg?auto=compress&cs=tinysrgb&w=800
SK Spring Field,"1 BHK Flat for sale in Kandivali West, Mumbai",,Mumbai,85.0 L,"Kandivali West, Mumbai",550,15450,"1 BHK Apartment for sale in Kandivali West, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Kandivali West which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Kandivali West. The property is on floor 3 and the total number of floors is 7. This 1 BHK Apartment is available at a reasonable price of Rs 82.0 L. Residents also need to pay maintenance charges of Rs 2045. It is a very spacious property, spread over 460 Square feet. The built-up area ...",1.0,19.2084439,72.8420309,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7ttDlu-kQVj1XCjp4EcIq4yJo1yKqpkWtg&s
Galaxy Apartment,"1 BHK Flat for sale in Kurla East, Mumbai",,Mumbai,74.0 L,"Qureshi Nagar, Kurla East,Mumbai",650,11380,"This is 1BHK approx 650sqft built up with 2 bathrooms on higher floor of Galaxy Apt with good ventilation. This is at Kurla East near Guntur Bhawan. Close to Kurla Railway station; 10min drive to BKC and very centrally located. Let me know if u need any further information - tx Ashish More About This Property Looking for a good 1 BHK Apartment in Kurla East, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 15. Total number of floors is 17. Maintenance charges of this property is Rs 5000. This modern unit has a built-u...",1.0,19.0605563,72.8766145,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRGU_zy1A-zstcvQn07U5GeCN8b49B29J4Yg&s
Neelam Neelam Nagar,"2 BHK Flat for sale in Mulund East, Mumbai",,Mumbai,42.0 L,"Neelam Nagar, Mulund East,Mumbai",650,6460,"This is 1.5 bhk flat for sale at mulund east.Near station. Walking distance is just 8 min.Its gavanpada gaothan property.urgently so giving in this unbelievable price.Not negotiable.4th floor.No lift. More About This Property Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Mumbai's top location, Mulund East. It is situated on floor 4. The total number of floors in this Apartment is 4. The property price of this unit is Rs 46.0 L. Monthly maintenance costs Rs 600. The carpet area of this...",2.0,19.1703693,72.9588425,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
Yogi Prakash,"1 BHK Flat for sale in Borivali West, Mumbai",,Mumbai,1.1 Cr,"Yogi Nagar, Borivali West,Mumbai",550,20000,"One of the finest property in Borivali West is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 4 storeyed building. The price of this Apartment is Rs 1.1 Cr. Other charges when you move into this property include maintenance, which is Rs 1500. This Apartment is spacious with a built-up area of 550 Square feet. The carpet area is 500 Square feet. It is a North-facing property with a good view. There are 1 bedroom and 1 bathroom. This property ensures you are a quick distance away from the city's best schools such as Arihan...",1.0,19.2351117,72.8433385,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&w=1200
Akruti Aneri,"3 BHK Flat for sale in Andheri East, Mumbai",,Mumbai,1.69 Cr,"Marol, Andheri East,Mumbai",1025,16490,"3 BHK Apartment for sale in Andheri East, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Andheri East which is a promising investment destination in Mumbai. This might be your chance to grab the best 3 BHK property for sale in Andheri East. The property is on floor 5 and the total number of floors is 7. This 3 BHK Apartment is available at a reasonable price of Rs 1.69 Cr. Residents also need to pay maintenance charges of Rs 5025. It is a very spacious property, spread over 950 Square feet. The built-up area is 10...",3.0,19.1044551,72.8672635,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyfi0uf1t-u3cXQDcluS_bcl8FFO8OHHarQ&s
 Thawar Mansion Apartment,"1 RK Independent House for sale in Umerkhadi, Mumbai",,Mumbai,80.0 L,"Dongri, Umerkhadi,Mumbai",200,40000,"Best 1 RK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 RK property for sale in one of Mumbai's top location, Umerkhadi. The property price of this unit is Rs 80.0 L. Monthly maintenance costs Rs 120. The carpet area of this unit is 180 Square feet. The built-up area is 200 Square feet. There are 1 bedroom and 1 bathroom. It is an ideal location for young families with kids, as this property is close to St Joseph High School, Dongri Municipal Secondary School, and St Joseph's Carmel Convent. Healthcare facility is also...",,18.9591749,72.83717,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzqD9EMkCUhuh4dqPwCOEw_l9Q1OWipGpv2A&s
